Year,Month,Customer Code,Industry,Revenue Type,Product,Product Mix,Revenue,Gross Profit
2020,1,Customer 37,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  20,687 ","  20,687 "
2020,1,Customer 3,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  269 ,  196 
2020,1,Customer 3,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  347 ,  347 
2020,1,Customer 3,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  14,821 ","  (62,497)"
2020,1,Customer 3,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,"  59,764 ","  3,626 "
2020,1,Customer 19,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  485 ,  354 
2020,1,Customer 19,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  2,894 ","  1,922 "
2020,1,Customer 19,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 19,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,  -   ,  -   
2020,1,Customer 19,Pharmaceuticals & Biotech,Reoccurring,DeliverIT Solutions,Software & Platforms,  -   ,  -   
2020,1,Customer 310,Apparel & E-Commerce,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 312,Industrial Equipment & Utilities,Reoccurring,Insight Advisory,Consulting & Implementation Services,"  17,795 ","  16,840 "
2020,1,Customer 321,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  293 ,  215 
2020,1,Customer 324,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 324,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  141 ,"  (3,641)"
2020,1,Customer 324,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 324,Pharmaceuticals & Biotech,Reoccurring,Insight Advisory,Consulting & Implementation Services,"  32,994 ","  31,378 "
2020,1,Customer 326,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 22,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  18,856 ","  6,062 "
2020,1,Customer 22,Industrial Equipment & Utilities,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  8,788 ","  (5,928)"
2020,1,Customer 22,Industrial Equipment & Utilities,Reoccurring,OperateX Fulfillment,Software & Platforms,"  7,284 ","  2,003 "
2020,1,Customer 22,Industrial Equipment & Utilities,Reoccurring,DeliverIT Solutions,Software & Platforms,"  3,722 ",  (640)
2020,1,Customer 22,Industrial Equipment & Utilities,Recurring,FieldSite On-Prem Services,Managed IT & Cloud Services,"  36,823 ","  (12,287)"
2020,1,Customer 267,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,426 ","  1,043 "
2020,1,Customer 267,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 330,Pharmaceuticals & Biotech,Reoccurring,DeliverIT Solutions,Software & Platforms,"  6,825 ",  (569)
2020,1,Customer 333,Apparel & E-Commerce,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  17,528 ","  4,527 "
2020,1,Customer 335,Pharmaceuticals & Biotech,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 337,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 339,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 339,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 340,Digital Innovation & Streaming,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  318 ,  (299)
2020,1,Customer 349,Aerospace & Defense,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 355,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  174 ,  127 
2020,1,Customer 357,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  141 ,  103 
2020,1,Customer 225,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  17,615 ","  17,615 "
2020,1,Customer 225,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 225,Public Administration,Reoccurring,OperateX Fulfillment,Software & Platforms,"  4,496 ","  4,400 "
2020,1,Customer 359,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  527 ,  385 
2020,1,Customer 361,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 367,Industrial Equipment & Utilities,Reoccurring,DeliverIT Solutions,Software & Platforms,  651 ,"  1,088 "
2020,1,Customer 370,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 371,Property Management & Investment,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  4,057 ","  2,686 "
2020,1,Customer 373,Consulting & Advisory,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  6,535 ","  4,780 "
2020,1,Customer 373,Consulting & Advisory,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  39,908 ","  25,846 "
2020,1,Customer 376,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  22 ,  16 
2020,1,Customer 378,Consulting & Advisory,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  917 ,  671 
2020,1,Customer 378,Consulting & Advisory,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  175 ,  175 
2020,1,Customer 378,Consulting & Advisory,Reoccurring,Insight Advisory,Consulting & Implementation Services,"  4,632 ","  4,311 "
2020,1,Customer 382,Digital Innovation & Streaming,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  107 ,  78 
2020,1,Customer 270,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 270,Pharmaceuticals & Biotech,Reoccurring,Insight Advisory,Consulting & Implementation Services,"  18,659 ","  17,712 "
2020,1,Customer 152,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  6,814 ","  6,814 "
2020,1,Customer 152,Public Administration,Reoccurring,DeliverIT Solutions,Software & Platforms,"  66,483 ","  56,891 "
2020,1,Customer 396,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 396,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 396,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  62 ,  41 
2020,1,Customer 397,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  367 ,  269 
2020,1,Customer 114,Industrial Equipment & Utilities,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  19,838 ","  2,444 "
2020,1,Customer 402,Digital Innovation & Streaming,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 409,Industrial Equipment & Utilities,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 261,Logistics & Freight,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 417,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  8,301 ","  5,767 "
2020,1,Customer 417,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 56,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  (19,230)","  (18,705)"
2020,1,Customer 56,Public Administration,Reoccurring,OperateX Fulfillment,Software & Platforms,"  9,651 ","  10,421 "
2020,1,Customer 33,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  14,169 ","  8,060 "
2020,1,Customer 78,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  26 ,  19 
2020,1,Customer 78,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 217,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 10,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  16,205 ","  7,640 "
2020,1,Customer 10,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  998 ,  998 
2020,1,Customer 10,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 10,Aerospace & Defense,Reoccurring,OperateX Fulfillment,Software & Platforms,"  41,775 ","  (60,219)"
2020,1,Customer 78,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  4,104 ","  2,983 "
2020,1,Customer 78,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  10,898 ","  10,898 "
2020,1,Customer 78,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  23,265 ","  (8,253)"
2020,1,Customer 78,Public Administration,Reoccurring,OperateX Fulfillment,Software & Platforms,"  40,511 ","  15,583 "
2020,1,Customer 421,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  24,259 ","  16,687 "
2020,1,Customer 421,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  145,188 ","  145,188 "
2020,1,Customer 21,Digital Innovation & Streaming,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  4,041 ","  (1,061)"
2020,1,Customer 21,Digital Innovation & Streaming,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 21,Digital Innovation & Streaming,Reoccurring,OperateX Fulfillment,Software & Platforms,  -   ,  -   
2020,1,Customer 21,Digital Innovation & Streaming,Reoccurring,Insight Advisory,Consulting & Implementation Services,"  6,690 ","  4,892 "
2020,1,Customer 1,Digital Innovation & Streaming,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  93,809 ","  39,945 "
2020,1,Customer 1,Digital Innovation & Streaming,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  (5,983)","  (5,983)"
2020,1,Customer 1,Digital Innovation & Streaming,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  263,512 ","  160,911 "
2020,1,Customer 1,Digital Innovation & Streaming,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  1,677 ","  1,156 "
2020,1,Customer 1,Digital Innovation & Streaming,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  31,838 ","  (17,083)"
2020,1,Customer 1,Digital Innovation & Streaming,Reoccurring,OperateX Fulfillment,Software & Platforms,"  85,597 ","  24,155 "
2020,1,Customer 1,Digital Innovation & Streaming,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 1,Digital Innovation & Streaming,Recurring,FieldSite On-Prem Services,Managed IT & Cloud Services,"  241,761 ","  39,222 "
2020,1,Customer 424,Consulting & Advisory,Reoccurring,DeliverIT Solutions,Software & Platforms,"  1,689 ",  (202)
2020,1,Customer 426,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  2,073 ","  1,376 "
2020,1,Customer 429,Renewable Energy Solutions,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 429,Renewable Energy Solutions,Reoccurring,DeliverIT Solutions,Software & Platforms,  (484),  (386)
2020,1,Customer 179,Industrial Equipment & Utilities,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 4,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  28,289 ","  15,721 "
2020,1,Customer 4,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  (8,156)","  (8,156)"
2020,1,Customer 4,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  131,468 ","  87,284 "
2020,1,Customer 4,Pharmaceuticals & Biotech,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  59,940 ","  (29,165)"
2020,1,Customer 4,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  175,513 ","  (114,204)"
2020,1,Customer 4,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,"  358,398 ","  139,233 "
2020,1,Customer 4,Pharmaceuticals & Biotech,Reoccurring,DeliverIT Solutions,Software & Platforms,"  6,674 ","  (2,263)"
2020,1,Customer 4,Pharmaceuticals & Biotech,Recurring,FieldSite On-Prem Services,Managed IT & Cloud Services,"  121,024 ","  66,042 "
2020,1,Customer 51,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  245 ,  179 
2020,1,Customer 51,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  679 ,  679 
2020,1,Customer 442,Consulting & Advisory,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 447,Aerospace & Defense,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 448,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  538 ,  373 
2020,1,Customer 449,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,767 ","  1,293 "
2020,1,Customer 449,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  2,745 ",  (603)
2020,1,Customer 450,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 245,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  7,283 ",  526 
2020,1,Customer 453,Digital Innovation & Streaming,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 94,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  1,106 ",  (452)
2020,1,Customer 94,Aerospace & Defense,Reoccurring,OperateX Fulfillment,Software & Platforms,"  7,452 ","  2,013 "
2020,1,Customer 94,Aerospace & Defense,Reoccurring,DeliverIT Solutions,Software & Platforms,"  1,264 ","  1,008 "
2020,1,Customer 15,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,041 ",  762 
2020,1,Customer 15,Public Administration,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  10,281 ","  4,053 "
2020,1,Customer 15,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  9,324 ","  6,425 "
2020,1,Customer 15,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  13,924 ","  (1,799)"
2020,1,Customer 15,Public Administration,Reoccurring,OperateX Fulfillment,Software & Platforms,"  42,586 ","  13,125 "
2020,1,Customer 456,Charitable Organizations,Reoccurring,DeliverIT Solutions,Software & Platforms,  9 ,  (1)
2020,1,Customer 458,Charitable Organizations,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  58 ,  42 
2020,1,Customer 459,Digital Innovation & Streaming,Reoccurring,DeliverIT Solutions,Software & Platforms,  -   ,  -   
2020,1,Customer 462,Apparel & E-Commerce,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 470,Industrial Equipment & Utilities,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 471,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  115 ,  84 
2020,1,Customer 481,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  309 ,  226 
2020,1,Customer 482,Apparel & E-Commerce,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 490,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 490,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,  -   ,  -   
2020,1,Customer 495,Pharmaceuticals & Biotech,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 498,Consulting & Advisory,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 499,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 499,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  1,474 ","  (1,303)"
2020,1,Customer 499,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,"  3,879 ","  4,189 "
2020,1,Customer 504,Digital Innovation & Streaming,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 505,Aerospace & Defense,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  73 ,  48 
2020,1,Customer 507,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 185,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  13,517 ","  8,975 "
2020,1,Customer 514,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 522,Property Management & Investment,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  354 ,  259 
2020,1,Customer 522,Property Management & Investment,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  368 ,  (57)
2020,1,Customer 263,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  2,326 ","  1,701 "
2020,1,Customer 263,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  (520),  (520)
2020,1,Customer 263,Industrial Equipment & Utilities,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  29,813 ","  18,495 "
2020,1,Customer 263,Industrial Equipment & Utilities,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  223 ,  66 
2020,1,Customer 525,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  893 ,  653 
2020,1,Customer 525,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 54,Apparel & E-Commerce,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 27,Apparel & E-Commerce,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  276 ,  202 
2020,1,Customer 14,Apparel & E-Commerce,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  16,946 ","  12,166 "
2020,1,Customer 557,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 559,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  109 ,  72 
2020,1,Customer 561,Pharmaceuticals & Biotech,Reoccurring,Apex ERP Suite,Software & Platforms,  -   ,  -   
2020,1,Customer 561,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 253,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  4,023 ","  2,772 "
2020,1,Customer 89,Digital Innovation & Streaming,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  2,027 ","  1,482 "
2020,1,Customer 89,Digital Innovation & Streaming,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  4,897 ","  (1,958)"
2020,1,Customer 28,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,487 ","  1,088 "
2020,1,Customer 28,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 568,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,702 ","  1,245 "
2020,1,Customer 568,Industrial Equipment & Utilities,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  13,730 ","  6,010 "
2020,1,Customer 571,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 575,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 35,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  13,304 ","  (2,627)"
2020,1,Customer 578,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,605 ","  1,174 "
2020,1,Customer 578,Public Administration,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 256,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  61 ,  (33)
2020,1,Customer 256,Aerospace & Defense,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  1,057 ",  702 
2020,1,Customer 256,Aerospace & Defense,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  18,051 ","  7,491 "
2020,1,Customer 256,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 580,Renewable Energy Solutions,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 59,Apparel & E-Commerce,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  1,708 ","  1,249 "
2020,1,Customer 59,Apparel & E-Commerce,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  29,033 ","  15,611 "
2020,1,Customer 59,Apparel & E-Commerce,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 118,Consulting & Advisory,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  580 ,  (514)
2020,1,Customer 118,Consulting & Advisory,Reoccurring,OperateX Fulfillment,Software & Platforms,"  9,203 ","  2,168 "
2020,1,Customer 20,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  370 ,  271 
2020,1,Customer 20,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  22,843 ","  22,843 "
2020,1,Customer 20,Aerospace & Defense,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  9,574 ","  5,704 "
2020,1,Customer 20,Aerospace & Defense,Reoccurring,OperateX Fulfillment,Software & Platforms,  (79),  (85)
2020,1,Customer 20,Aerospace & Defense,Reoccurring,DeliverIT Solutions,Software & Platforms,  246 ,  59 
2020,1,Customer 20,Aerospace & Defense,Recurring,FieldSite On-Prem Services,Managed IT & Cloud Services,"  33,846 ","  4,840 "
2020,1,Customer 587,E-Learning Platforms,Reoccurring,DeliverIT Solutions,Software & Platforms,  -   ,  -   
2020,1,Customer 594,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 70,Public Administration,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  8,957 ","  4,808 "
2020,1,Customer 120,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  2,235 ",  (784)
2020,1,Customer 120,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 601,Pharmaceuticals & Biotech,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  11,533 ","  (8,833)"
2020,1,Customer 601,Pharmaceuticals & Biotech,Reoccurring,OperateX Fulfillment,Software & Platforms,"  2,884 ","  3,009 "
2020,1,Customer 612,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  -   ,  -   
2020,1,Customer 617,Property Management & Investment,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  161 ,  118 
2020,1,Customer 626,Pharmaceuticals & Biotech,Reoccurring,DeliverIT Solutions,Software & Platforms,  618 ,  (16)
2020,1,Customer 629,Aerospace & Defense,Reoccurring,OperateX Staffing,Consulting & Implementation Services,  -   ,  -   
2020,1,Customer 638,Public Administration,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  26 ,  19 
2020,1,Customer 640,Pharmaceuticals & Biotech,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  1,258 ",  835 
2020,1,Customer 646,Aerospace & Defense,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  11,328 ","  7,147 "
2020,1,Customer 23,Consulting & Advisory,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  57 ,  42 
